Datensatztyp*;EinheitMastrNummer;Anlagenbetreiber;Anzeigename;Postleitzahl;Ort;Strasse;Hausnummer;Bundesland;Land;Jahr_Inbetriebnahme;Jahr_Stilllegung**;Kraftwerksstatus;Energietraeger;Hauptbrennstoff;Waermeauskopplung_KWK;Erneuerbarer_Energietraeger;Bruttoleistung_MW;Nettonennleistung_MW;Technologie_Stromerzeugung;Volleinspeisung_Teileinspeisung;Spannungsebene;Anschlussnetzbetreiber;Bestandteil_Grenzkraftwerk;Grenzkraftwerk_Nettonennleistung_MW
Einzelanlage;SEE967279432140;INEOS Manufacturing Deutschland;GT13800;50769;K?ln;Alte Str.;201;NordrheinWestfalen;Deutschland;2025;;InBetrieb;Sonstige Energietraeger (nicht erneuerbar);SonstigeHergestellteGase;Ja;Nein;38;35,611;GegendruckmaschinemitEntnahme;Volleinspeisung;UmspannungZurMittelspannung;NETCUR GmbH (SNB974711150357);Nein;
Einzelanlage;SEE975166535577;DSM Nutritional Products GmbH;Dampfturbine DT4;79639;Grenzach-Wyhlen;Emil-Barell-Stra?e;3;BadenWuerttemberg;Deutschland;1979;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;8,2;8;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;naturenergie netze GmbH (SNB945502201350);Nein;
Einzelanlage;SEE977812651266;EnBW Energie Baden-W?rttemberg AG;RKI Iffezheim M3;76473;Iffezheim;An der Staustufe;27;BadenWuerttemberg;Deutschland;1978;;InBetrieb;Wasser;;Nein;Ja;27;27;Laufwasseranlage;TeileinspeisungEigenverbrauch;Hochspannung;Netze BW GmbH (SNB948311994307);Ja;27
Einzelanlage;SEE934890098444;naturenergie hochrhein AG;KW Wyhlen Straflo 02;79639;Grenzach-Wyhlen;Am Wasserkraftwerk;;BadenWuerttemberg;Deutschland;1993;;InBetrieb;Wasser;;Nein;Ja;4,6;4,5;Laufwasseranlage;TeileinspeisungEigenverbrauch;Hochspannung;naturenergie netze GmbH (SNB945502201350);Ja;4,5
Einzelanlage;SEE947816911833;Wacker Chemie;Gasturbinenanlage 12;84489;Burghausen;Johannes-Hess-Stra?e;24;Bayern;Deutschland;2001;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;141;137;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Nein;
Einzelanlage;SEE919393178787;STEAG Power GmbH;Fenne MKV;66333;V?lklingen;Saarbr?cker Stra?e;135;Saarland;Deutschland;1982;;Netzreserve aufgrund ? 13b EnWG;Steinkohle;Steinkohlen;Ja;Nein;195;179;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;Creos Deutschland GmbH (SNB940133714842);Nein;
Einzelanlage;SEE920992144554;Braunschweiger Versorgungs-AG & Co. KG;HKW Mitte GuD BMHKW;38114;Braunschweig;Reiherstra?e;3;Niedersachsen;Deutschland;2023;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;104,24;97,958;Sonstige;Volleinspeisung;Hochspannung;Braunschweiger Netz GmbH (SNB926644622999);Nein;
Einzelanlage;SEE932782707160;Moritz J. Weig GmbH & Co. KG;Dampfturbine 3;56727;Mayen;Polcher Stra?e;113;RheinlandPfalz;Deutschland;2015;;vorl?ufig Stillgelegt;Erdgas;ErdgasErdoelgas;Ja;Nein;28,8;27,5;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Energienetze Mittelrhein GmbH & Co. KG (SNB980055629275);Nein;
Einzelanlage;SEE933094075404;UPM GmbH;UPM Schongau HKW 3 DT;86956;Schongau;Friedrich-Haindl-Stra?e;10;Bayern;Deutschland;2014;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;30,17;30,17;Sonstige;Volleinspeisung;Hochspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
Einzelanlage;SEE956808243722;ENGIE Deutschland GmbH;SEDE607510036;07546;Gera;Siemensstra?e;43;Thueringen;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;4,5;4,472;Verbrennungsmotor;Volleinspeisung;Mittelspannung;GeraNetz GmbH (SNB948816192529);Nein;
Einzelanlage;SEE957830042178;AVEA Entsorgungsbetriebe;Turbine 3;51373;Leverkusen;Im Eisholz;12;NordrheinWestfalen;Deutschland;2010;;InBetrieb;Abfall;AbfallHausmuellSiedlungsabfaelle;Ja;Nein;23,65;18,65;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;RheinNetz GmbH (SNB924477581384);Nein;
Einzelanlage;SEE958702894895;Energieversorgung Schwerin GmbH & Co. Erzeugung KG;SN-Lankow-GUD_1994;19057;Schwerin;Grevesm?hlener Str.;28;MecklenburgVorpommern;Deutschland;1994;;vorl?ufig Stillgelegt;Erdgas;ErdgasErdoelgas;Ja;Nein;8,672;6;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Netzgesellschaft Schwerin mbH (NGS) (SNB913130054136);Nein;
Einzelanlage;SEE958847865460;Onyx Kraftwerk Zolling GmbH &Co. KGaA;Kraftwerk Zolling;85406;Zolling;Leiningerstra?e;1;Bayern;Deutschland;1985;;Netzreserve aufgrund von KVBG;Steinkohle;Steinkohlen;Ja;Nein;501;472;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hoechstspannung;TenneT TSO GmbH (SNB970033313272);Nein;
Einzelanlage;SEE960733358116;Stadtwerke Kempen GmbH;0065 - STW - BHKW - KWK;47906;Kempen;Otto-Schott-Stra?e;4;NordrheinWestfalen;Deutschland;2024;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;2,455;2,419;Verbrennungsmotor;Volleinspeisung;Mittelspannung;Stadtwerke Kempen GmbH (SNB943042904373);Nein;
Einzelanlage;SEE919443669678;Iqony Battery System;GBS KW Fenne;66333;V?lklingen;Saarbr?cker Stra?e;135;Saarland;Deutschland;2016;;InBetrieb;Batteriespeicher;;Nein;Nein;15;15;Batterie;Volleinspeisung;Hochspannung;Creos Deutschland GmbH (SNB940133714842);Nein;
Einzelanlage;SEE922519934914;Pfeifer & Langen GmbH & Co. KG;Euskirchen BHKW;53879;Euskirchen;Bonner Stra?e;2;NordrheinWestfalen;Deutschland;2022;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;1,2;1,178;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Mittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE923391382282;BEH Bioenergie Hannover GmbH;Biomethan BHKW Hannover Herrenhausen, Motor 5;30419;Hannover;Leinh?user Weg;5;Niedersachsen;Deutschland;2024;;InBetrieb;Biomasse;;Ja;Ja;4,5;4,5;Verbrennungsmotor;Volleinspeisung;Mittelspannung;enercity Netz GmbH (SNB971746988153);Nein;
Einzelanlage;SEE943565217936;BMW AG;Partition_4;04349;Leipzig;BMW-Allee;1 ;Sachsen;Deutschland;2017;;InBetrieb;Batteriespeicher;;Nein;Nein;3,4;3,4;Batterie;TeileinspeisungEigenverbrauch;Hochspannung;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);Nein;
Einzelanlage;SEE943866326672;EnBW Energie Baden-W?rttemberg AG;illwerke vkw Vermuntwerk M2;A-6794;Partenen;Vermuntbahnstrasse;47;;Oesterreich;1930;;InBetrieb;Wasser;;Nein;Ja;85;85;Speicherwasseranlage;Volleinspeisung;Hoechstspannung;TransnetBW GmbH (SNB984944755380);Nein;
Einzelanlage;SEE950688444200;Koehler Kehl GmbH;Biomasse-HKW 2 Kehl;77694;Kehl;Bremenw?rtstra?e;5;BadenWuerttemberg;Deutschland;2011;;InBetrieb;Biomasse;;Ja;Ja;2,9;2,6;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;E-Werk Netze GmbH & Co. KG (SNB913992545742);Nein;
Einzelanlage;SEE951966828576;Zweckverband M?llverwertungsanlage Ingolstadt;Turbine VE 32 ZV MVA IN;85055;Ingolstadt;Am Mailinger Bach;141;Bayern;Deutschland;1996;;InBetrieb;Abfall;AbfallHausmuellSiedlungsabfaelle;Ja;Nein;9,2;7,36;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Niederspannung;Stadtwerke Ingolstadt Netze GmbH (SNB911347846643);Nein;
Einzelanlage;SEE905490507995;Coulomb GmbH;Q_ESS_Luenen;44536;L?nen;Brunnenstra?e;138;NordrheinWestfalen;Deutschland;2016;;InBetrieb;Batteriespeicher;;Nein;Nein;11,92;11,92;Batterie;Volleinspeisung;Mittelspannung;Stadtwerke L?nen GmbH (SNB942111583372);Nein;
Einzelanlage;SEE911507913505;Kelheim Fibres GmbH;Turbine 2;93309;Kelheim;Regensburger Stra?e;109;Bayern;Deutschland;1990;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;2,943;2,722;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;STADTWERKE KELHEIM GmbH & Co KG (SNB965500640463);Nein;
Einzelanlage;SEE902280549463;RWE Generation SE;bnBm GasKW BIB GT3;68647;Biblis;Bei den M?nch?ckern;50;Hessen;Deutschland;2023;;besonderes netztechnisches Betriebsmittel;Erdgas;ErdgasErdoelgas;Nein;Nein;34,8;34,4;GasturbinenohneAbhitzekessel;Volleinspeisung;Hoechstspannung;Amprion GmbH (SNB976890256486);Nein;
Einzelanlage;SEE904052511746;Vattenfall Wasserkraft GmbH;PSW Markersbach PSS D;08352;Raschau-Markersbach;Oberbeckenstra?e;8;Sachsen;Deutschland;1981;;InBetrieb;Pumpspeicher;;Nein;Nein;175;174,2;Pumpspeicher;Volleinspeisung;Hoechstspannung;50Hertz Transmission GmbH (SNB982046657236);Nein;
Einzelanlage;SEE904653296578;Sustainable Energy Aschaffenburg GmbH;DT_neu;63741;Aschaffenburg;Weichertstra?e;7;Bayern;Deutschland;2025;;InBetrieb;Abfall;Industrieabfall;Ja;Nein;3,3;2,98;GegendruckmaschineohneEntnahme;Volleinspeisung;Mittelspannung;Aschaffenburger Versorgungs-GmbH (SNB911081401368);Nein;
Einzelanlage;SEE909927513559;Kraftwerke Mainz-Wiesbaden AG;KW3 GT31;55120;Mainz;Kraftwerkallee;1;RheinlandPfalz;Deutschland;2001;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;296,3;291,3;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Hochspannung;Mainzer Netze GmbH (SNB959523885956);Nein;
Einzelanlage;SEE911567250299;Uniper Kraftwerke GmbH;Itzehoe GT;25588;Oldendorf;Stra?e nach Huje;1;SchleswigHolstein;Deutschland;1972;;InBetrieb;Mineraloelprodukte;HeizoelLeicht;Nein;Nein;89;87;GasturbinenohneAbhitzekessel;Volleinspeisung;Hochspannung;Schleswig-Holstein Netz GmbH (SNB990857029876);Nein;
Einzelanlage;SEE915604855232;Sustainable Energy Aschaffenburg GmbH;GuD-Anlage (Gasturbine);63741;Aschaffenburg;Weichertstra?e;7;Bayern;Deutschland;2013;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;32,25;31,552;GasturbinenmitAbhitzekessel;Volleinspeisung;Mittelspannung;Aschaffenburger Versorgungs-GmbH (SNB911081401368);Nein;
Einzelanlage;SEE915883553447;Gemeinschaftskraftwerk Irsching GmbH;Irsching 5 DT;85088;Vohburg;Paarstra?e;30;Bayern;Deutschland;2010;;InBetrieb;Erdgas;ErdgasErdoelgas;Nein;Nein;286;282;GasturbinenmitnachgeschalteterDampfturbine;Volleinspeisung;Hoechstspannung;TenneT TSO GmbH (SNB970033313272);Nein;
Einzelanlage;SEE937914003899;Allg?uer ?berlandwerk GmbH;Spitzenlastkraftwerk Veits Dieseltandem 1;87448;Waltenhofen;Veits;13;Bayern;Deutschland;1978;;InBetrieb;Mineraloelprodukte;HeizoelLeicht;Nein;Nein;5,94;5;Verbrennungsmotor;Volleinspeisung;Mittelspannung;Allg?uNetz GmbH & Co. KG (SNB926394308747);Nein;
Einzelanlage;SEE941176001043;RWE Generation Hydro GmbH;Lehmen Maschiene 3;56332;Niederfell;An der B49;;RheinlandPfalz;Deutschland;1962;;InBetrieb;Wasser;;Nein;Ja;5;5;Laufwasseranlage;Volleinspeisung;UmspannungZurMittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE942100679987;RWE Generation SE;Vianden M6;9463;Stolzembourg;Rue de l'Energie;2;;Luxemburg;1964;;InBetrieb;Pumpspeicher;;Nein;Nein;100;100;Pumpspeicher;TeileinspeisungEigenverbrauch;Hoechstspannung;Amprion GmbH (SNB976890256486);Ja;100
Einzelanlage;SEE942752513288;EGGER Holzwerkstoffe Brilon GmbH & Co. KG;DT1;59929;Brilon;Im Kissen;19;NordrheinWestfalen;Deutschland;2016;;InBetrieb;Biomasse;;Ja;Ja;10;10;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE945580171361;Henkel AG & Co. KGaA;F13G5;40589;D?sseldorf;Henkelstra?e;67;NordrheinWestfalen;Deutschland;1980;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;20;18;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;UmspannungZurMittelspannung;Netzgesellschaft D?sseldorf mbH (SNB933956506145);Nein;
Einzelanlage;SEE950895373805;Energie SaarLorLux AG;Dampfturbinenanlage DT3;66121;Saarbr?cken;Bismarckstra?e;143;Saarland;Deutschland;2011;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;34,6;34;KondensationsmaschinemitEntnahme;Volleinspeisung;Hochspannung;Stadtwerke Saarbr?cken Netz AG (SNB985382489820);Nein;
Einzelanlage;SEE955535216191;Crespel & Deiters GmbH & Co. KG;GTS6;49479;Ibbenb?ren;Groner Allee;76;NordrheinWestfalen;Deutschland;2025;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;5,4;5,319;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Mittelspannung;SWTE Netz GmbH & Co. KG (SNB950006175489);Nein;
Einzelanlage;SEE956337212497;S?dzucker AG;Dampfturbine I S?dzucker Ochsenfurt;97199;Ochsenfurt;Marktbreiter Stra?e;74;Bayern;Deutschland;1978;;InBetrieb;Waerme;Dampf;Ja;Nein;14,4;13,667;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;N-ERGIE Netz GmbH (SNB973875583315);Nein;
Einzelanlage;SEE916830465356;Kraftwerke Mainz-Wiesbaden AG;BHKW KW5 5A;55120;Mainz;Kraftwerkallee;1;RheinlandPfalz;Deutschland;2020;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;10,02;9,93;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Hochspannung;Mainzer Netze GmbH (SNB959523885956);Nein;
Einzelanlage;SEE918407219966;Neptune Energy Deutschland GmbH;GuD Steinitz - HKW 1;29410;Salzwedel;Bobbenm?rsche;11;SachsenAnhalt;Deutschland;1994;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;11,6;11,6;GasturbinenmitnachgeschalteterDampfturbine;TeileinspeisungEigenverbrauch;Mittelspannung;Avacon Netz GmbH (SNB990362338043);Nein;
Einzelanlage;SEE920193460095;Stadtwerke Kiel AG;HKWH Gasturbine 6;24116;Kiel;Goethestra?e;14;SchleswigHolstein;Deutschland;2005;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;5,52;5,424;GasturbinenmitAbhitzekessel;Volleinspeisung;Mittelspannung;SWKiel Netz GmbH (SNB973742186519);Nein;
Einzelanlage;SEE960155611554;medl GmbH;medl BHKW Broich Modul 3 neu;45479;M?lheim;Duisburger Stra?e;50;NordrheinWestfalen;Deutschland;2021;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;2,673;2,673;Verbrennungsmotor;Volleinspeisung;Mittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE964717210810;Infraserv GmbH & Co. Wiesbaden KG;Generator 3;65203;Wiesbaden;Rheingaustra?e;190-196;Hessen;Deutschland;1977;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;10,573;10,323;GegendruckmaschineohneEntnahme;Volleinspeisung;Mittelspannung;InfraServ GmbH & Co. Wiesbaden KG (SNB960884494671);Nein;
Einzelanlage;SEE968136280119;EnBW Energie Baden-W?rttemberg AG;Rheinhafen- Dampfkraftwerk  RDK 4S DT;76189;Karlsruhe;Fettweisstra?e;42;BadenWuerttemberg;Deutschland;1998;;Netzreserve aufgrund ? 13b EnWG;Erdgas;ErdgasErdoelgas;Nein;Nein;124,5;114;KondensationsmaschineohneEntnahme;Volleinspeisung;Hoechstspannung;TransnetBW GmbH (SNB984944755380);Nein;
Einzelanlage;SEE970579995963;Uniper Kraftwerke GmbH;Scholven 1 DT;45896;Gelsenkirchen;Gl?ckaufstra?e;56;NordrheinWestfalen;Deutschland;2023;;InBetrieb;Waerme;Dampf;Ja;Nein;30,802;30;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hoechstspannung;Amprion GmbH (SNB976890256486);Nein;
Einzelanlage;SEE938990134545;ZRE Zentrum f?r Ressourcen und Energie GmbH;MVB Borsigstra?e Holz 24;22113;Hamburg;Borsigstra?e;6;Hamburg;Deutschland;2005;;InBetrieb;Biomasse;;Ja;Ja;20,52;20,52;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;Hamburger Energienetze GmbH (SNB968295079586);Nein;
Einzelanlage;SEE905826160993;DB Energie GmbH;Saalachkraftwerk D2;83435;Bad Reichenhall;Thumseestra?e;25;Bayern;Deutschland;1914;;InBetrieb;Wasser;;Nein;Ja;1,75;1,75;Laufwasseranlage;TeileinspeisungEigenverbrauch;Mittelspannung, Mittelspannung, Mittelspannung;Stadtwerke Bad Reichenhall KU (SNB958672501014);Nein;
Einzelanlage;SEE913199703136;Uniper Kraftwerke GmbH;Ro?haupten SKW K2;87672;Ro?haupten;Forggenseestra?e;100;Bayern;Deutschland;1954;;InBetrieb;Wasser;;Nein;Ja;24,9;22,75;Speicherwasseranlage;Volleinspeisung;Hochspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
Einzelanlage;SEE913657334902;AUDI;NEC_WERK_PST_S?D;74172;Neckarsulm;NSU-Stra?e;1;BadenWuerttemberg;Deutschland;1994;;InBetrieb;Mineraloelprodukte;AndereMineraloelprodukte;Nein;Nein;20,57;20,57;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Niederspannung;Netze BW GmbH (SNB948311994307);Nein;
Einzelanlage;SEE917943562765;Mainova AG;HKW West Block 2;60327;Frankfurt;Gutleutstra?e;231;Hessen;Deutschland;1990;;InBetrieb;Steinkohle;Steinkohlen;Ja;Nein;69,5;61,5;KondensationsmaschinemitEntnahme;Volleinspeisung;Hoechstspannung;NRM Netzdienste Rhein-Main GmbH (SNB921899277833);Nein;
Einzelanlage;SEE934395809149;Rheinkraftwerk Albbruck-Dogern AG;RADAG M2;79774;Albbruck;Kraftwerkstra?e;34;BadenWuerttemberg;Deutschland;1934;;InBetrieb;Wasser;;Nein;Ja;27,94;27,94;Laufwasseranlage;Volleinspeisung;Hochspannung;Amprion GmbH (SNB976890256486);Ja;27,94
Einzelanlage;SEE944354997350;Emschergenossenschaft;Erdgas BHKW KLA Bottrop Ag. 1;46238;Bottrop;In der Welheimer Mark;190;NordrheinWestfalen;Deutschland;2021;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;2,676;2,676;Verbrennungsmotor;TeileinspeisungEigenverbrauch;UmspannungZurMittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE946476002431;Kelheim Fibres GmbH;Turbine 6;93309;Kelheim;Regensburger Stra?e;109;Bayern;Deutschland;1970;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;22,5;20,815;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;STADTWERKE KELHEIM GmbH & Co KG (SNB965500640463);Nein;
Einzelanlage;SEE980274382876;EnBW Energie Baden-W?rttemberg AG;RKI Iffezheim M6 Fischpass;76473;Iffezheim;An der Staustufe;27;BadenWuerttemberg;Deutschland;2001;;InBetrieb;Wasser;;Nein;Ja;1,05;1,05;Laufwasseranlage;TeileinspeisungEigenverbrauch;Hochspannung;Netze BW GmbH (SNB948311994307);Ja;1,05
Einzelanlage;SEE980331579218;EnBW Energie Baden-W?rttemberg AG;Rheinhafen-Dampfkraftwerk RDK 8;76189;Karlsruhe;Fettweisstra?e;42;BadenWuerttemberg;Deutschland;2014;;InBetrieb;Steinkohle;Steinkohlen;Ja;Nein;912;834;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hoechstspannung;TransnetBW GmbH (SNB984944755380);Nein;
Einzelanlage;SEE980608407671;N-ERGIE Kraftwerke GmbH;HKW Sandreuth (DT1);90441;N?rnberg;Sandreuthstra?e;55a;Bayern;Deutschland;2010;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;16,076;15,596;GegendruckmaschineohneEntnahme;Volleinspeisung;Mittelspannung;N-ERGIE Netz GmbH (SNB973875583315);Nein;
Einzelanlage;SEE928983473973;Westag AG;BHKW-G;33378;Rheda-Wiedenbr?ck;Hellweg;15;NordrheinWestfalen;Deutschland;2016;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;1,999;1,999;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Mittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE931353190974;VERBUND Innkraftwerke GmbH;Kraftwerk Neu?tting MS3;84524;Neu?tting;Innstra?e;11;Bayern;Deutschland;1951;;InBetrieb;Wasser;;Nein;Ja;8,7;8,7;Laufwasseranlage;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Nein;
Einzelanlage;SEE934292362181;Fernheizwerk Neuk?lln AG;Fernheizwerk 6-BHKW 8;12059;Berlin;Weigandufer;49;Berlin;Deutschland;2020;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;1,9998;1,9758;Verbrennungsmotor;Volleinspeisung;Mittelspannung;Stromnetz Berlin GmbH (SNB979269087643);Nein;
Einzelanlage;SEE940474876544;RWE Generation Hydro GmbH;M?den Maschine 1;56254;M?den;An der B416;;RheinlandPfalz;Deutschland;1965;;InBetrieb;Wasser;;Nein;Ja;4,1;4,1;Laufwasseranlage;Volleinspeisung;Mittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE924169304048;Uniper Kraftwerke GmbH;Kaufering K(Ro)3;86916;Kaufering;Lechfeldwiesen;;Bayern;Deutschland;1975;;InBetrieb;Wasser;;Nein;Ja;6,1;5,567;Laufwasseranlage;Volleinspeisung;Hochspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
Einzelanlage;SEE924474026383;Biomethan Produktion Ottersberg GmbH;Motor 5;28870;Ottersberg;Am Damm;26;Niedersachsen;Deutschland;2005;;InBetrieb;Biomasse;;Ja;Ja;1,048;1,048;Verbrennungsmotor;Volleinspeisung;Mittelspannung;EWE NETZ GmbH (SNB951051725711);Nein;
Einzelanlage;SEE927303933470;Nordland Papier GmbH;Nordland GuD-Anlage ND-DTS;26892;D?rpen;Nordlandallee;1;Niedersachsen;Deutschland;2022;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;4,1;3,995;GegendruckmaschineohneEntnahme;Volleinspeisung;Mittelspannung;EWE NETZ GmbH (SNB951051725711);Nein;
Einzelanlage;SEE927436598478;BMW AG;Werk 1.5 KWK 4;80937;M?nchen;Knorrstra?e;147;Bayern;Deutschland;2019;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;3,431;3,36;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Mittelspannung;SWM Infrastruktur GmbH & Co. KG (SNB969473762610);Nein;
Einzelanlage;SEE930232746332;Uniper Kraftwerke GmbH;Scheuring K(Ro)1;86937;Scheuring;;;Bayern;Deutschland;1980;;InBetrieb;Wasser;;Nein;Ja;4,5;4,067;Laufwasseranlage;Volleinspeisung;Hochspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
Einzelanlage;SEE930595548697;Uniper Kraftwerke GmbH;Walchenseekraftwerk D F1;82431;Kochel;Altjoch;21;Bayern;Deutschland;1924;;InBetrieb;Wasser;;Nein;Ja;18;18;Speicherwasseranlage;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Nein;
Einzelanlage;SEE932907515472;Obton Storage GmbH & Co. KG;Elsteraue Battery Storage;06729;Elsteraue;Dr.-Bergius-Stra?e;904 B;SachsenAnhalt;Deutschland;2022;;InBetrieb;Batteriespeicher;;Nein;Nein;13,8;13,8;Batterie;Volleinspeisung;Niederspannung;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);Nein;
stillgelegte Anlagen;SEE934591835126;SWN Stadtwerke Neum?nster GmbH;T4;24534;Neum?nster;Bismarckstra?e;51;SchleswigHolstein;Deutschland;1974;2024;endg?ltig stillgelegt ohne ? 13b EnWG oder KVBG;Steinkohle;Steinkohlen;Ja;Nein;17,36;14,105;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Schleswig-Holstein Netz GmbH (SNB990857029876);Nein;
Einzelanlage;SEE901050642113;EVH GmbH;Heizkraftwerk Dieselstra?e Block C;06130;Halle;Dieselstra?e;141;SachsenAnhalt;Deutschland;2020;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;57,322;57,322;GasturbinenmitAbhitzekessel;Volleinspeisung;UmspannungZurMittelspannung;Energieversorgung Halle Netz GmbH (SNB982934611074);Nein;
Einzelanlage;SEE904662075126;Sachsenmilch Leppersdorf GmbH;7712MKA10-GT2;01454;Wachau;An den Breiten;;Sachsen;Deutschland;2014;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;15,45;14,885;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;UmspannungZurHochspannung;SachsenNetze HS.HD GmbH (SNB968914838013);Nein;
Einzelanlage;SEE921399860047;Stadtwerke Rosenheim GmbH & Co. KG;GM2;83022;Rosenheim;F?rberstra?e;47;Bayern;Deutschland;2011;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;3,352;3,285;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Mittelspannung;Stadtwerke Rosenheim Netze GmbH (SNB988838479086);Nein;
Einzelanlage;SEE927343891853;Emschergenossenschaft;DT KLA Bottrop;46238;Bottrop;In der Welheimer Mark;190;NordrheinWestfalen;Deutschland;2017;;InBetrieb;Biomasse;;Nein;Ja;4,5;4,5;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;UmspannungZurMittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE937536026146;BEW Berliner Energie und W?rme GmbH;GuD Marzahn Gasturbine;12681;Berlin;Allee der Kosmonauten;26 B;Berlin;Deutschland;2020;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;196;189,5;GasturbinenmitnachgeschalteterDampfturbine;TeileinspeisungEigenverbrauch;Hochspannung;Stromnetz Berlin GmbH (SNB979269087643);Nein;
