Datensatztyp*;EinheitMastrNummer;Anlagenbetreiber;Anzeigename;Postleitzahl;Ort;Strasse;Hausnummer;Bundesland;Land;Jahr_Inbetriebnahme;Jahr_Stilllegung**;Kraftwerksstatus;Energietraeger;Hauptbrennstoff;Waermeauskopplung_KWK;Erneuerbarer_Energietraeger;Bruttoleistung_MW;Nettonennleistung_MW;Technologie_Stromerzeugung;Volleinspeisung_Teileinspeisung;Spannungsebene;Anschlussnetzbetreiber;Bestandteil_Grenzkraftwerk;Grenzkraftwerk_Nettonennleistung_MW
Einzelanlage;SEE945727561772;Schluchseewerk AG;KW Wehr MS B9;79664;Wehr;Todtmooser Stra?e;150;BadenWuerttemberg;Deutschland;1976;;InBetrieb;Pumpspeicher;;Nein;Nein;227,5;227,5;Pumpspeicher;None;Hoechstspannung;TransnetBW GmbH (SNB984944755380);Nein;
Einzelanlage;SEE953235539855;EnBW Energie Baden-W?rttemberg AG;Heizkraftwerk Stuttgart-Gaisburg HKW 3 Motor 1;70327;Stuttgart;Langwiesenweg;23;BadenWuerttemberg;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;10,295;9,717;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Hochspannung;Stuttgart Netze GmbH (SNB947592865054);Nein;
Einzelanlage;SEE968240296907;Untere Iller GmbH;Untereichen F2;89281;Altenstadt;Werkstra?e;60;Bayern;Deutschland;1931;;InBetrieb;Wasser;;Nein;Ja;4;4;Laufwasseranlage;TeileinspeisungEigenverbrauch;Hochspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
Einzelanlage;SEE968254365774;DREWAG - Stadtwerke Dresden GmbH;GT2;01159;Dresden;Oederaner Stra?e;21;Sachsen;Deutschland;1995;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;65;62;GasturbinenmitnachgeschalteterDampfturbine;Volleinspeisung;Hochspannung;SachsenNetze HS.HD GmbH (SNB968914838013);Nein;
Einzelanlage;SEE969767231167;Schluchseewerk AG;KW S?ckingen B7;79713;Bad S?ckingen;Stollenweg;2;BadenWuerttemberg;Deutschland;1967;;InBetrieb;Pumpspeicher;;Nein;Nein;90;90;Pumpspeicher;None;Hoechstspannung;TransnetBW GmbH (SNB984944755380);Nein;
Einzelanlage;SEE970931306376;Solvay GmbH;Solvay Rb TA10;47495;Rheinberg;Xantener Stra?e;237;NordrheinWestfalen;Deutschland;1983;;InBetrieb;Waerme;Dampf;Ja;Nein;27,2;27,2;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Solvay GmbH (SNB960511188218);Nein;
Einzelanlage;SEE935506652999;be.storaged GmbH;Energiewende-Speicher;26316;Varel;Oldenburger Stra?e;69 B;Niedersachsen;Deutschland;2018;;InBetrieb;Batteriespeicher;;Nein;Nein;11,9;11,9;Batterie;Volleinspeisung;Mittelspannung;EWE NETZ GmbH (SNB951051725711);Nein;
Einzelanlage;SEE940474859066;BASF SE;Z564 VT1;67063;Ludwigshafen;Carl-Bosch-Stra?e;38;RheinlandPfalz;Deutschland;1992;;InBetrieb;Waerme;Dampf;Ja;Nein;12,5;12;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hoechstspannung;Amprion GmbH (SNB976890256486);Nein;
Einzelanlage;SEE946736241334;Palm Power GmbH & Co. KG;HKW Aalen;73432;Aalen;Palm Allee;1;BadenWuerttemberg;Deutschland;2021;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;79,19;78,302;GasturbinenmitnachgeschalteterDampfturbine;Volleinspeisung;Hochspannung;Netze BW GmbH (SNB948311994307);Nein;
Einzelanlage;SEE949509046600;Onyx Kraftwerk Zolling GmbH &Co. KGaA;Zolling GT2;85406;Zolling;Leiningerstra?e;1;Bayern;Deutschland;1976;;InBetrieb;Mineraloelprodukte;HeizoelLeicht;Nein;Nein;25;24,5;GasturbinenohneAbhitzekessel;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Nein;
Einzelanlage;SEE977600961171;Donau-Wasserkraft AG;Bertoldsheim E K2;86643;Rennertshofen;Burgheimer Stra?e;33;Bayern;Deutschland;1967;;InBetrieb;Wasser;;Nein;Ja;6,6;6,3;Laufwasseranlage;Volleinspeisung;Hochspannung;DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607);Nein;
Einzelanlage;SEE978319698396;VERBUND Innkraftwerke GmbH;Kraftwerk Wasserburg MS4 110 kV;83512;Wasserburg;Innwerkstra?e;15;Bayern;Deutschland;1938;;InBetrieb;Wasser;;Nein;Ja;4,82;4,82;Laufwasseranlage;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Nein;
Einzelanlage;SEE979811488683;K+S Minerals and Agriculture GmbH;Kraftwerk SI GT1;31515;Wunstorf;Schachtstra?e;10;Niedersachsen;Deutschland;1993;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;5,577;5,5;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Mittelspannung;Avacon Netz GmbH (SNB990362338043);Nein;
Einzelanlage;SEE983252937631;RWE Power AG;Niederau?em K;50129;Bergheim;Werkstr.;;NordrheinWestfalen;Deutschland;2003;;InBetrieb;Braunkohle;Rohbraunkohlen;Ja;Nein;998;944;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hoechstspannung;Amprion GmbH (SNB976890256486);Nein;
Einzelanlage;SEE984446277410;Sunnic Lighthouse Solar Invest 11 TU 2 GmbH;B?ttel Speicher;25572;B?ttel;;;SchleswigHolstein;Deutschland;2023;;InBetrieb;Batteriespeicher;;Nein;Nein;12;12;Batterie;Volleinspeisung;Hochspannung;Schleswig-Holstein Netz GmbH (SNB990857029876);Nein;
Einzelanlage;SEE985220684011;K+S Minerals and Agriculture GmbH;Kraftwerk SI DT2;31515;Wunstorf;Schachtstra?e;10;Niedersachsen;Deutschland;1973;;InBetrieb;Waerme;Dampf;Ja;Nein;9,439;9,3;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Avacon Netz GmbH (SNB990362338043);Nein;
