nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,name_KW,energietraeger,nr_KW
SEE910198021377,ABR915078705217,Wasser,"SEE929573869206, SEE910198021377, SEE988811412871",WasserKraft Sorpe M1,Volleinspeisung,2500,59846,Hochsauerlandkreis,Sundern,Zum Ausgleichsweiher,901,Nordrhein-Westfalen,7.971364,51.351681,1935,NA,FALSE,Wasserkraft Sorpe M1,Speicherwasseranlage,NA
SEE988811412871,ABR915078705217,Wasser,"SEE929573869206, SEE910198021377, SEE988811412871",Wasserkraft Sorpe M2,Volleinspeisung,2500,59846,Hochsauerlandkreis,Sundern,Zum Ausgleichsweiher,901,Nordrhein-Westfalen,7.971364,51.351681,1935,NA,FALSE,Wasserkraft Sorpe M2,Speicherwasseranlage,NA
SEE943972986142,ABR968112198223,Wasser,SEE943972986142,KW Eixendorf I,Teileinspeisung (einschließlich Eigenverbrauch),1300,92431,Schwandorf,Neunburg,Eixendorf,12,Bayern,12.44772,49.360608,1976,NA,FALSE,KW Eixendorf I,Speicherwasseranlage,NA
SEE966363477586,ABR916198639970,Wasser,SEE966363477586,WKW Dorfhain I,Volleinspeisung,1200,01738,Sächsische Schweiz-Osterzgebirge,Dorfhain,Am Wasserwerk,3,Sachsen,13.565333,50.938028,2012,NA,FALSE,NA,Wasserkraftanlage in Trinkwassersystem,NA
SEE901602471161,ABR982790226122,Wasser,"SEE901602471161, SEE913911815888, SEE959377024433, SEE979257485857, SEE925023182710",Alzwerk Maschine 1,Teileinspeisung (einschließlich Eigenverbrauch),10080,84489,Altötting,Burghausen,Johannes-Hess-Straße,24,Bayern,12.85338,48.183251,1922,NA,FALSE,Alzwerk,Laufwasseranlage,NA
SEE913911815888,ABR982790226122,Wasser,"SEE901602471161, SEE913911815888, SEE959377024433, SEE979257485857, SEE925023182710",Alzwerk Maschine 2,Teileinspeisung (einschließlich Eigenverbrauch),10080,84489,Altötting,Burghausen,Johannes-Hess-Straße,24,Bayern,12.853364,48.183277,1922,NA,FALSE,Alzwerk,Laufwasseranlage,NA
SEE959377024433,ABR982790226122,Wasser,"SEE901602471161, SEE913911815888, SEE959377024433, SEE979257485857, SEE925023182710",Alzwerk Maschine 3,Teileinspeisung (einschließlich Eigenverbrauch),10080,84489,Altötting,Burghausen,Johannes-Hess-Straße,24,Bayern,12.853395,48.183259,1923,NA,FALSE,Alzwerk,Laufwasseranlage,NA
SEE979257485857,ABR982790226122,Wasser,"SEE901602471161, SEE913911815888, SEE959377024433, SEE979257485857, SEE925023182710",Alzwerk Maschine 4,Teileinspeisung (einschließlich Eigenverbrauch),10080,84489,Altötting,Burghausen,Johannes-Hess-Straße,24,Bayern,12.853355,48.183204,1923,NA,FALSE,Alzwerk,Laufwasseranlage,NA
SEE925023182710,ABR982790226122,Wasser,"SEE901602471161, SEE913911815888, SEE959377024433, SEE979257485857, SEE925023182710",Alzwerk Maschine 5,Teileinspeisung (einschließlich Eigenverbrauch),10080,84489,Altötting,Burghausen,Johannes-Hess-Straße,24,Bayern,12.85341,48.183447,1923,NA,FALSE,Alzwerk,Laufwasseranlage,NA
SEE972202087915,ABR901037990749,Wasser,"SEE985645724682, SEE972202087915",Wasserkraftwerk Lißberg Generator 2,Volleinspeisung,1300,63683,Wetteraukreis,Ortenberg,Neudorfweg,NA,Hessen,9.092411,50.376184,1928,NA,FALSE,Wasserkraftwerk Lißberg,Speicherwasseranlage,NA
SEE902972372973,ABR976042022266,Wasser,SEE902972372973,WKA Nachrodt,Teileinspeisung (einschließlich Eigenverbrauch),1500,58769,Märkischer Kreis,Nachrodt-Wiblingwerde,Hagener Straße,143,Nordrhein-Westfalen,7.637621,51.34595,1927,NA,FALSE,NA,Laufwasseranlage,NA
SEE997604872419,ABR985250519932,Wasser,"SEE997604872419, SEE922895546091, SEE904072281353, SEE996070331635, SEE983430016462",WKW Raisdorf I Turbine 1,Volleinspeisung,1030,24223,Plön,Schwentinental,Rastorfer Mühle,10,Schleswig-Holstein,10.237902,54.292793,1909,NA,FALSE,WKW Raisdorf I,Laufwasseranlage,NA
SEE945422802538,ABR981894928901,Wasser,SEE945422802538,WKA Höllbach,Teileinspeisung (einschließlich Eigenverbrauch),2025,94469,Deggendorf,Deggendorf,Ruselbergstraße,87,Bayern,13.00721,48.859317,2009,NA,FALSE,NA,Laufwasseranlage,NA
SEE937882058518,ABR981894928901,Wasser,SEE937882058518,WKA Sauloch,Teileinspeisung (einschließlich Eigenverbrauch),2600,94469,Deggendorf,Deggendorf,Ruselbergstraße,87,Bayern,13.007251,48.859321,2009,NA,FALSE,WKA Sauloch,Laufwasseranlage,NA
SEE931160816487,ABR976042022266,Wasser,SEE931160816487,WKA Obererlau,Volleinspeisung,1276,94130,Passau,Obernzell,Erlautal,15,Bayern,13.580579,48.581427,1959,NA,FALSE,NA,Laufwasseranlage,NA
SEE965374627256,ABR942134045673,Wasser,SEE965374627256,Kraftwerk Gumpenried,Volleinspeisung,1600,94244,Regen,Geiersthal,Gumpenried,1,Bayern,12.999383,49.072837,1984,NA,FALSE,Kraftwerk Gumpenried,Laufwasseranlage,NA
SEE945993832644,ABR918115212532,Wasser,"SEE945993832644, SEE947636805725",Kraftwerk Kriebstein 2Z,Volleinspeisung,4360,09648,Mittelsachsen,Kriebstein,An der Talsperre,2 Z,Sachsen,13.014856,51.035956,2010,NA,FALSE,NA,Laufwasseranlage,NA
SEE930386629253,ABR918115212532,Wasser,SEE930386629253,Kraftwerk Kriebstein,Volleinspeisung,4360,09648,Mittelsachsen,Kriebstein,An der Talsperre,2 x,Sachsen,13.014612,51.035889,2012,NA,FALSE,Kraftwerk Kriebstein 2X,Laufwasseranlage,NA
SEE905906772405,ABR966843331803,Wasser,SEE905906772405,Kraftwerk Wolfsheck,Volleinspeisung,3790,76596,Rastatt,Forbach,Wolfsheck,1,Baden-Württemberg,8.352502,48.696611,2001,NA,FALSE,Kraftwerk Wolfsheck,Laufwasseranlage,NA
SEE903320710720,ABR961356265997,Wasser,SEE903320710720,Kraftwerk Baienfurt,Volleinspeisung,1168,88255,Ravensburg,Baienfurt,Dr.-Haug-Straße,NA,Baden-Württemberg,9.664789,47.829636,2000,NA,FALSE,Kraftwerk Baienfurt,Laufwasseranlage,NA
SEE955966715911,ABR925652335860,Wasser,SEE955966715911,Isarkraftwerk,Volleinspeisung,2124,83646,Bad Tölz-Wolfratshausen,Bad Tölz,Zum Isarkraftwerk,2,Bayern,11.54117,47.777129,2005,NA,FALSE,NA,Laufwasseranlage,NA
SEE950427721036,ABR907506418141,Wasser,SEE950427721036,Riedenburg PSW,Volleinspeisung,4000,93339,Kelheim,Riedenburg,Gasslweg,1,Bayern,11.688586,48.974089,1987,NA,FALSE,NA,Speicherwasseranlage,NA
SEE963787688062,ABR914764874992,Wasser,"SEE963787688062, SEE962597527578, SEE935976236132, SEE950988570012, SEE944518084070, SEE938153286029, SEE995447721338, SEE935963507269",Kachlet K2,Volleinspeisung,6712.5,94034,Passau,Passau,Schleusenweg,10,Bayern,13.4089,48.5794,1927,NA,FALSE,NA,Laufwasseranlage,NA
SEE962597527578,ABR914764874992,Wasser,"SEE963787688062, SEE962597527578, SEE935976236132, SEE950988570012, SEE944518084070, SEE938153286029, SEE995447721338, SEE935963507269",Kachlet K1,Volleinspeisung,6712.5,94034,Passau,Passau,Schleusenweg,10,Bayern,13.4089,48.5794,1927,NA,FALSE,NA,Laufwasseranlage,NA
SEE935976236132,ABR914764874992,Wasser,"SEE963787688062, SEE962597527578, SEE935976236132, SEE950988570012, SEE944518084070, SEE938153286029, SEE995447721338, SEE935963507269",Kachlet K3,Volleinspeisung,6712.5,94034,Passau,Passau,Schleusenweg,10,Bayern,13.4089,48.5794,1927,NA,FALSE,NA,Laufwasseranlage,NA
