nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,name_KW,nr_KW
SEE920353802208,ABR958379400542,Stromspeichereinheit,SEE920353802208,Herbstadt-Ottelmannshausen BESS,Volleinspeisung,6625,97633,Rhön-Grabfeld,Herbstadt,NA,NA,Bayern,10.48632,50.34499,2027,NA,FALSE,Batterie,NA,NA
SEE905317595174,ABR910486930206,Stromspeichereinheit,SEE905317595174,Weißenbrunn-Wildenberg BESS,NA,5000,96369,Kronach,Weißenbrunn,NA,NA,Bayern,11.33466,50.18534,2027,NA,FALSE,Batterie,NA,NA
SEE984413550584,ABR975744474137,Stromspeichereinheit,SEE984413550584,Agri-PV Heusweiler BESS,Volleinspeisung,1100,66265,Regionalverband Saarbrücken,Heusweiler,NA,NA,Saarland,6.913373,49.34779,2027,NA,FALSE,Batterie,NA,NA
SEE972977601088,ABR925296821910,Stromspeichereinheit,SEE972977601088,Borgstedtfelde 1 Speicher,NA,3500,24794,Rendsburg-Eckernförde,Borgstedt,NA,NA,Schleswig-Holstein,9.68342,54.337324,2028,NA,FALSE,Batterie,NA,NA
SEE992317777532,ABR958666677510,Stromspeichereinheit,SEE992317777532,Schernfeld-Schönfeld BESS,NA,5000,85132,Eichstätt,Schernfeld,NA,NA,Bayern,11.05915,48.90808,2027,NA,FALSE,Batterie,NA,NA
SEE949911940770,ABR999665975979,Stromspeichereinheit,SEE949911940770,Ebersdorf b. Coburg-Kleingarnstadt BESS,NA,5000,96237,Coburg,Ebersdorf,NA,NA,Bayern,11.0711,50.25599,2027,NA,FALSE,Batterie,NA,NA
SEE939314658563,ABR963699520559,Stromspeichereinheit,SEE939314658563,BESS Dummerstorf Energiewende 2,NA,6667,18184,Rostock,Roggentin,Konrad-Zuse-Str.,1a,Mecklenburg-Vorpommern,12.254388,54.026366,2026,NA,FALSE,Batterie,NA,NA
SEE903542702305,ABR937367252035,Stromspeichereinheit,SEE903542702305,Bad Wünnenberg 3 Speicher,NA,4800,33181,Paderborn,Bad Wünnenberg,NA,NA,Nordrhein-Westfalen,8.77977,51.556295,2028,NA,FALSE,Batterie,NA,NA
SEE980161575503,ABR902828591244,Stromspeichereinheit,SEE980161575503,Frankfurt Oder West 2.3 Speicher,NA,6500,15234,Frankfurt (Oder),Frankfurt,NA,NA,Brandenburg,14.466301,52.324506,2028,NA,FALSE,Batterie,NA,NA
SEE917240593240,ABR963699520559,Stromspeichereinheit,SEE917240593240,BESS Dummerstorf Energiewende 3,NA,6667,18184,Rostock,Roggentin,Konrad-Zuse-Str.,1a,Mecklenburg-Vorpommern,12.243493,54.024767,2026,NA,FALSE,Batterie,NA,NA
SEE989462413392,ABR963699520559,Stromspeichereinheit,SEE989462413392,BESS Dummerstorf Energiewende 4,NA,3334,18184,Rostock,Roggentin,Konrad-Zuse-Str.,1a,Mecklenburg-Vorpommern,12.257781,54.024809,2026,NA,FALSE,Batterie,NA,NA
SEE945537657887,ABR960539438715,Stromspeichereinheit,SEE945537657887,Arpsdorf 2 Speicher,NA,3100,24634,Rendsburg-Eckernförde,Arpsdorf,NA,NA,Schleswig-Holstein,9.872111,54.0118,2028,NA,FALSE,Batterie,NA,NA
SEE984944135533,ABR934635875712,Stromspeichereinheit,SEE984944135533,Bagenz 2.2 Speicher,Volleinspeisung,6500,03058,Spree-Neiße,Neuhausen,NA,NA,Brandenburg,14.434216,51.638602,2028,NA,FALSE,Batterie,NA,NA
SEE901702163997,ABR914224652122,Stromspeichereinheit,SEE901702163997,Rickling 1.3 Speicher,NA,3500,24635,Segeberg,Rickling,NA,NA,Schleswig-Holstein,10.202505,53.977772,2028,NA,FALSE,Batterie,NA,NA
SEE944360041801,ABR992511086164,Stromspeichereinheit,NA,Salz Schondra Kebigsgraben 9 BESS,Volleinspeisung,1500,97616,Rhön-Grabfeld,Salz,Am Kebigsgraben,9,Bayern,10.192599,50.29875,2027,NA,FALSE,Batterie,NA,NA
SEE903381038559,ABR992511086164,Stromspeichereinheit,NA,HB - Lachendorf Im Bulloh - BESS,Volleinspeisung,2000,29331,Celle,Lachendorf,Im Bulloh,NA,Niedersachsen,10.236741,52.630275,2027,NA,FALSE,Batterie,NA,NA
SEE988566028860,ABR920315355568,Stromspeichereinheit,NA,Batteriespeicher - Marienthal,Volleinspeisung,1634,94469,Deggendorf,Deggendorf,Marienthal,2,Bayern,12.990793,48.851809,2026,NA,FALSE,Batterie,NA,NA
SEE933819601840,ABR934776144609,Stromspeichereinheit,NA,Batteriespeicher Grüningen,Volleinspeisung,3000,88499,Biberach,Riedlingen,NA,NA,Baden-Württemberg,9.455774,48.175222,2026,NA,FALSE,Batterie,NA,NA
SEE978939069606,ABR908154282139,Stromspeichereinheit,SEE978939069606,PIONEXT Batteriespeicher Solarpark Hütschenhausen,Volleinspeisung,5015,66882,Kaiserslautern,Hütschenhausen,NA,NA,Rheinland-Pfalz,7.513434,49.436647,2027,NA,FALSE,Batterie,NA,NA
SEE994873681186,ABR900142413754,Stromspeichereinheit,NA,MM16 - Speicher Töttelstedt - Erfurt,Volleinspeisung,1250,99100,Gotha,Bienstädt,NA,NA,Thüringen,10.886821,51.006838,2026,NA,FALSE,Batterie,NA,NA
SEE917146636904,ABR973275600827,Stromspeichereinheit,NA,Batteriespeicher-Buch,Volleinspeisung,5040,94113,Passau,Tiefenbach,NA,NA,Bayern,13.34614,48.621421,2026,NA,FALSE,Batterie,NA,NA
SEE972647392971,ABR990218930629,Stromspeichereinheit,NA,Batteriespeicher Marktoberdorf,NA,9900,87616,Ostallgäu,Marktoberdorf,Johann-Georg-Fendt-Straße,26,Bayern,10.611919,47.779278,2026,NA,FALSE,Batterie,NA,NA
SEE908517074623,ABR906445302191,Stromspeichereinheit,NA,Kyon-26 Battery Storage,Volleinspeisung,23700,39171,Börde,Sülzetal,NA,NA,Sachsen-Anhalt,11.575843,52.062095,2026,NA,FALSE,Batterie,NA,NA
SEE909400840998,ABR988763171093,Stromspeichereinheit,NA,Kyon-53 Battery Storage,Volleinspeisung,146500,25860,Nordfriesland,Horstedt,NA,NA,Schleswig-Holstein,9.072722,54.510083,2027,NA,FALSE,Batterie,NA,NA
SEE964305378076,ABR996723278485,Stromspeichereinheit,NA,Kyon-101 Battery Storage,Volleinspeisung,58000,09603,Mittelsachsen,Großschirma,NA,NA,Sachsen,13.215833,50.966806,2027,NA,FALSE,Batterie,NA,NA
SEE918241145889,ABR962434023836,Stromspeichereinheit,NA,Kyon-56 Battery Storage,Volleinspeisung,146500,27318,Nienburg (Weser),Hilgermissen,NA,NA,Niedersachsen,9.162444,52.835944,2027,NA,FALSE,Batterie,NA,NA
