ort,landkreis,plz,Bundesland,Paragraph,Revier
Gelsenkirchen,Gelsenkirchen,45883,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45884,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45886,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45888,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45889,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45891,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45892,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45894,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45896,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45897,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gelsenkirchen,Gelsenkirchen,45899,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Halle (Saale),Halle (Saale),06108,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06110,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06112,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06114,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06116,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06118,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06120,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06122,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06124,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06126,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06128,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06130,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Halle (Saale),Halle (Saale),06132,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Hamm,Hamm,59063,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hamm,Hamm,59065,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hamm,Hamm,59067,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hamm,Hamm,59069,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hamm,Hamm,59071,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hamm,Hamm,59073,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hamm,Hamm,59075,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hamm,Hamm,59077,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44623,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44625,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44627,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44628,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44629,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44649,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44651,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44652,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Herne,Herne,44653,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Leipzig,Leipzig,04103,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04105,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04107,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04109,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04129,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04155,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04157,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04158,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04159,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04177,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04178,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04179,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04205,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04207,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04209,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04229,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04249,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04275,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04277,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04279,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04288,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04289,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04299,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04315,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04316,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04317,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04318,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04319,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04328,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04329,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04347,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04349,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04356,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Leipzig,Leipzig,04357,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41061,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41063,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41065,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41066,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41068,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41069,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41169,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41179,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41189,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41199,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41236,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41238,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mönchengladbach,Mönchengladbach,41239,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Rostock,Rostock,18055,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18057,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18059,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18069,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18106,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18107,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18109,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18119,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18146,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18147,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18181,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Rostock,Rostock,18182,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Wilhelmshaven,Wilhelmshaven,26382,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Wilhelmshaven,Wilhelmshaven,26384,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Wilhelmshaven,Wilhelmshaven,26386,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Wilhelmshaven,Wilhelmshaven,26388,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Wilhelmshaven,Wilhelmshaven,26389,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
