ort,landkreis,plz,Bundesland,Paragraph,Revier
Seegebiet Mansfelder Land,Landkreis Mansfeld-Südharz,06317,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Seifhennersdorf,Landkreis Görlitz,02782,Sachsen,§2,Lausitzer Braunkohlerevier
Selfkant,Kreis Heinsberg,52538,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Selm,Kreis Unna,59379,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Selpin,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Senftenberg,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Senftenberg,Landkreis Oberspreewald-Lausitz,01968,Brandenburg,§2,Lausitzer Braunkohlerevier
Senftenberg,Landkreis Oberspreewald-Lausitz,01996,Brandenburg,§2,Lausitzer Braunkohlerevier
Simmerath,Städteregion Aachen,52152,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Sohland an der Spree,Landkreis Bautzen,02689,Sachsen,§2,Lausitzer Braunkohlerevier
Söllingen,Landkreis Helmstedt,38387,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Sonnewalde,Landkreis Elbe-Elster,03249,Brandenburg,§2,Lausitzer Braunkohlerevier
Spreetal - Sprjewiny Doł,Landkreis Bautzen,02979,Sachsen,§2,Lausitzer Braunkohlerevier
Spreewaldheide,Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
Spremberg,Landkreis Spree-Neiße,03130,Brandenburg,§2,Lausitzer Braunkohlerevier
Stäbelow,Landkreis Rostock,18198,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Starkenberg,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Steffenshagen,Landkreis Rostock,18209,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Steigra,Saalekreis,06268,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Steina,Landkreis Bautzen,01920,Sachsen,§2,Lausitzer Braunkohlerevier
Steinhagen,Landkreis Rostock,18246,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Steinigtwolmsdorf,Landkreis Bautzen,01904,Sachsen,§2,Lausitzer Braunkohlerevier
Steinreich,Landkreis Dahme-Spreewald,15938,Brandenburg,§2,Lausitzer Braunkohlerevier
Stolberg,Städteregion Aachen,52222,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Stolberg,Städteregion Aachen,52223,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Stolberg,Städteregion Aachen,52224,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Stößen,Burgenlandkreis,06667,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
