nr_MASTR,name,betreiber,energietraeger,leistung_brutto,leistung_netto,jahr_inbetriebnahme,plz,stillgelegt,jahr_stillegung,stillegung_type,ort,landkreis,Bundesland,Paragraph,Revier
BNA0252,Kraftwerk Ensdorf,NA,Steinkohle,310,283,2011,66806,TRUE,2018,EnWG,Ensdorf/Saar,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
BNA0253,Kraftwerk Ensdorf,NA,Steinkohle,120,106,1963,66806,TRUE,2018,EnWG,Ensdorf/Saar,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
BNA0618,KW Lünen,NA,Steinkohle,157,149,1962,44536,TRUE,2018,EnWG,Lünen,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0619,KW Lünen,NA,Steinkohle,350,324,1970,44536,TRUE,2018,EnWG,Lünen,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA1041,Gersteinwerk,NA,Erdgas,55,55,1973,59368,TRUE,2018,EnWG,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA1046a,Gersteinwerk,NA,Steinkohle,665.5,614,1984,59368,TRUE,2019,EnWG,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
BNA0705,Niederaußem D,NA,Braunkohle,320,297,1968,50129,TRUE,2021,KVBG,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0439,Buschhaus,NA,Braunkohle,390,352,1985,38350,TRUE,2020,KVBG,Helmstedt,Landkreis Helmstedt,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
BNA0199,Dormagen,NA,Erdgas,597,24,2000,41539,TRUE,2021,KVBG,Dormagen,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
BNA0292,Fab Frechen,NA,Braunkohle,202,120,1962,50226,TRUE,2023,KVBG,Frechen,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
