nr_MASTR,name,betreiber,energietraeger,leistung_brutto,leistung_netto,jahr_inbetriebnahme,plz,stillgelegt,jahr_stillegung,stillegung_type,ort,landkreis,Bundesland,Paragraph,Revier
SEE955696590697,BMKW Königs Wusterhausen,MVV Umwelt Asset GmbH,Biomasse,20.6,17.7,2003,15711,FALSE,NA,NA,Königs Wusterhausen,Landkreis Dahme-Spreewald,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE964745752825,HKW III  Block A,Stadtwerke Duisburg AG,Erdgas,35.6,35,1974,47249,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE973931205885,GSH Green Steam Hürth - Stromerzeugung nach KWKG,GSH Green Steam Hürth GmbH,Abfall,20,18.3,2025,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE974038381946,BESS Krumpa I,Münch EnerStore GmbH,Batteriespeicher,50.94,46.332,2026,06242,FALSE,NA,NA,Braunsbedra,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE980915157566,Heizkraftwerk Leipzig Süd GTA 9B,Stadtwerke Leipzig GmbH,Erdgas,66.465,66.02,2022,04279,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE971164680486,DT1,BASF InfraService & Solutions Lausitz GmbH,Erdgas,25.84,25.517,1994,01987,FALSE,NA,NA,Schwarzheide,Landkreis Oberspreewald-Lausitz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE947020088925,KWK HS Timber,HS Timber Services GmbH,Biomasse,5.552,5.552,2020,02923,FALSE,NA,NA,Hähnichen,Landkreis Görlitz,Sachsen,§2,Lausitzer Braunkohlerevier
SEE932127408097,Generator Zorbau,PreZero Energy Zorbau GmbH,Abfall,29.68,27.2,2005,06686,FALSE,NA,NA,Lützen,Burgenlandkreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE948351715917,GuD Herne,GuD Herne GmbH,Erdgas,621,608,2022,44653,FALSE,NA,NA,Herne,Herne,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE964940893804,GBS KW Walsum,Iqony Battery System,Batteriespeicher,15,15,2016,47179,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE923129957027,Mitte BHKW 2 Modul 3,Stadtwerke Duisburg AG,Erdgas,4.5,4.472,2023,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE943538028071,BHKW Leipzig Nord,Stadtwerke Leipzig GmbH,Erdgas,1.999,1.999,2017,04105,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE934842271741,Batteriespeicher Jackerath,RWE Battery Solutions GmbH,Batteriespeicher,4.05,4.05,2023,50181,FALSE,NA,NA,Bedburg,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE955310827123,Heizkraftwerk Leipzig Nord DT8B,Stadtwerke Leipzig GmbH,Erdgas,25.743,25.249,2022,04105,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE961989517128,Bad Düben Battery Storage,Obton Storage GmbH & Co. KG,Batteriespeicher,13.883,13.883,2022,04849,FALSE,NA,NA,Bad Düben,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE970305352633,Dampfturbine III Südzucker Zeitz,Südzucker AG,Waerme,19.35,16.85,1993,06712,FALSE,NA,NA,Gutenborn,Burgenlandkreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE927282130440,Gasmotorenkraftwerk Römerbrücke,Energie SaarLorLux AG,Erdgas,53.109,52.496,2022,66121,FALSE,NA,NA,Saarbrücken,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE930522848685,GT3,InfraLeuna GmbH,Erdgas,37.6,37,1994,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE942237774470,Gersteinwerk F DT (F2),RWE Generation SE,Erdgas,355,355,1972,59368,FALSE,NA,reserve,Werne,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE916508151147,BHKW Ford Saarlouis Modul 5,Ford-Werke GmbH,Erdgas,4.404,4.322,2016,66740,FALSE,NA,NA,Saarlouis,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE947225300921,GT1,InfraLeuna GmbH,Erdgas,37.6,37,1994,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE953987748918,Mitte BHKW 2 Modul 6,Stadtwerke Duisburg AG,Erdgas,4.5,4.472,2023,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE959044776498,Mitte BHKW 2 Modul 5,Stadtwerke Duisburg AG,Erdgas,4.5,4.472,2023,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE959576281422,Knapsack I - Dampfturbine - DT 10,Knapsack Power GmbH & Co. KG,Erdgas,290,290,2007,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE942777699660,EBKW Knapsack,EBS Kraftwerk GmbH,Abfall,33.42,29.9,2009,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE983252937631,Niederaußem K,RWE Power AG,Braunkohle,998,944,2003,50129,FALSE,2029,KVBG,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
