nr_MASTR,nr_betreiber,energie_type,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,anzahl_einheiten,name_KW,nr_KW
SEE930262404400,ABR913803785305,Solareinheit,FFPVA Calvörde West Rest,Volleinspeisung,12729.25,39359,Börde,Calvörde,NA,NA,Sachsen-Anhalt,11.271025,52.387987,2025,NA,FALSE,Freiflächensolaranlage,21575,NA,NA
SEE952268047870,ABR911453100608,Solareinheit,PVA Frankenförde an der L80,Volleinspeisung,40806.48,14947,Teltow-Fläming,Nuthe-Urstromtal,NA,NA,Brandenburg,13.05807,52.109955,2025,NA,FALSE,Freiflächensolaranlage,70356,NA,NA
SEE925806259462,ABR913672610470,Solareinheit,PVA-Ketzin,Volleinspeisung,86919,14669,Havelland,Ketzin,NA,NA,Brandenburg,12.841783,52.532323,2025,NA,FALSE,Freiflächensolaranlage,148203,NA,NA
SEE908087786353,ABR910274595297,Solareinheit,"PVA Leyerhof - 15,1 MWp",Volleinspeisung,15123.96,18513,Vorpommern-Rügen,Wendisch Baggendorf,NA,NA,Mecklenburg-Vorpommern,12.951971,54.084588,2026,NA,FALSE,Freiflächensolaranlage,24408,NA,NA
SEE956493590934,ABR963026940685,Solareinheit,PVA Flugplatz Trollenhagen-Teil 2,Volleinspeisung,13455,17039,Mecklenburgische Seenplatte,Trollenhagen,NA,NA,Mecklenburg-Vorpommern,13.310199,53.605609,2025,NA,FALSE,Freiflächensolaranlage,23400,NA,NA
SEE902581884720,ABR929631552347,Solareinheit,Solarkraftwerk Herleshof 1,Volleinspeisung,37957.68,97509,Schweinfurt,Kolitzheim,NA,NA,Bayern,10.2606,49.9153,2025,NA,FALSE,Freiflächensolaranlage,65124,NA,NA
SEE957861281034,ABR929631552347,Solareinheit,Solarkraftwerk Herleshof 3,Volleinspeisung,14953.9,97509,Schweinfurt,Kolitzheim,NA,NA,Bayern,10.2853,49.9463,2025,NA,FALSE,Freiflächensolaranlage,25584,NA,NA
SEE914240441175,ABR984672820206,Solareinheit,PVA Großörner,Volleinspeisung,30369.24,06343,Mansfeld-Südharz,Mansfeld,NA,NA,Sachsen-Anhalt,11.49133,51.60748,2025,NA,FALSE,Freiflächensolaranlage,46014,NA,NA
SEE920912392492,ABR941857636960,Solareinheit,Solarpark Pommersfelden 2,Volleinspeisung,19002.23,96178,Bamberg,Pommersfelden,NA,NA,Bayern,10.8397,49.75389,2025,NA,FALSE,Freiflächensolaranlage,32054,NA,NA
SEE981478016260,ABR993275436431,Solareinheit,PVA Altlüdersdorf,Volleinspeisung,14990,16775,Oberhavel,Gransee,Gasse,NA,Brandenburg,13.180855,53.047678,2027,NA,FALSE,Freiflächensolaranlage,21420,NA,NA
