nr_MASTR,name,betreiber,energietraeger,brennstoff,leistung_brutto,leistung_netto,jahr_inbetriebnahme,einspeisung,plz,ort,strasse,hausnummer,bundesland,stillgelegt,jahr_stillegung,stillegung_type
SEE927766801477,PKV Dampfsammelschienen-KWK-Anlage Generator / Turbine DT 11,Papier- u. Kartonfabrik Varel GmbH & Co. KG,Waerme,Dampf,3.76,3.647,1965,TeileinspeisungEigenverbrauch,26316,Varel,Dangaster Straße,38,Niedersachsen,FALSE,NA,NA
SEE933647139935,Geisling K1,Rhein-Main-Donau GmbH,Wasser,NA,8.333,8.333,1985,Volleinspeisung,93102,Pfatter,Wiesenweg,100,Bayern,FALSE,NA,NA
SEE933745405604,PSW Hohenwarte 2 PSS E,Vattenfall Wasserkraft GmbH,Pumpspeicher,NA,40,39.7,1965,Volleinspeisung,07338,Hohenwarte,Preßwitzer Straße,25,Thueringen,FALSE,NA,NA
SEE935147494255,Batteriespeicher Herdecke 2,RWE Supply & Trading GmbH,Batteriespeicher,NA,6.08,6.08,2021,Volleinspeisung,58313,Herdecke,Im Schiffwinkel,43,NordrheinWestfalen,FALSE,NA,NA
SEE935809614632,IPH Strom GT4,Infraserv GmbH & Co. Höchst KG,Erdgas,ErdgasErdoelgas,6.57,6.153,1956,Volleinspeisung,65929,Frankfurt,Brüningstraße,50,Hessen,FALSE,NA,NA
SEE925692039025,Schnellanlaufturbine (Howden),Sappi Ehingen GmbH,Waerme,Dampf,1.099,1.099,2024,TeileinspeisungEigenverbrauch,89584,Ehingen,Biberacher Straße,73,BadenWuerttemberg,FALSE,NA,NA
SEE954482465522,Batterie Hessisch Lichtenau,VERBUND Energy4Business Germany GmbH,Batteriespeicher,NA,12,12,2022,Volleinspeisung,37235,Hessisch Lichtenau,NA,NA,Hessen,FALSE,NA,NA
SEE955292024220,MKW SAD Turbine 4,Zweckverband Müllverwertung Schwandorf,Abfall,AbfallHausmuellSiedlungsabfaelle,10,10,1982,Volleinspeisung,92421,Schwandorf,Alustraße,7,Bayern,FALSE,NA,NA
SEE956217502250,GGT HO A,Salzgitter Flachstahl GmbH,Sonstige Energietraeger (nicht erneuerbar),NA,10.222,8,1998,TeileinspeisungEigenverbrauch,38239,Salzgitter,Eisenhüttenstraße,99,Niedersachsen,FALSE,NA,NA
SEE957285549260,Dampfturbine 9,Stadtwerke Flensburg,Steinkohle,Steinkohlen,35.9,32.9,1988,Volleinspeisung,24939,Flensburg,Batteriestraße,48,SchleswigHolstein,FALSE,NA,NA
SEE961328936443,BHKW Obere Viehweide M2 (Waldhäuser Str 100),Stadtwerke Tübingen GmbH,Erdgas,ErdgasErdoelgas,3.352,3.286,2013,TeileinspeisungEigenverbrauch,72076,Tübingen,Waldhäuser Straße,100,BadenWuerttemberg,FALSE,NA,NA
SEE961687984079,"HKW Pfaffenwald, Generator 41",Universität Stuttgart,Erdgas,ErdgasErdoelgas,5.2,4.9,1988,TeileinspeisungEigenverbrauch,70569,Stuttgart,Pfaffenwaldring,8,BadenWuerttemberg,FALSE,NA,NA
